0,1,2,3,4,5,6,7,8,9,10,11,12,13
80,10,10,105,2.5,800,12,62,80.6,44.956,21,1.36,633.1,162
80,10,10,105,5,800,12,68,88.2,44.956,21,1.36,633.1,162
80,10,10,105,7.5,800,12,75,93.3,44.956,21,1.36,633.1,162
90,2,8,105,2,710,15,200,82.5,24.305,12,1.31,737.7,145
90,2,8,105,1,710,15,200,90,180.94788,73,1.5,761,146
90,5,5,101,0.4,750,10,215,93,10.81,5,2.04,800.6,87
90,5,5,101,1,750,10,220,95.5,10.81,5,2.04,800.6,87
92,4,4,105,0.25,780,10,200,88.19,183.84,74,2.36,770,139
92,4,4,105,0.5,780,10,200,90.03,183.84,74,2.36,770,139
92,4,4,105,1,780,10,200,93.97,183.84,74,2.36,770,139
92,4,4,105,2,780,10,200,90.21,183.84,74,2.36,770,139
90,0,10,105,0.5,750,15,210,93.52,127.6,52,2.1,869.3,140
90,0,10,105,1,750,15,210,95.01,127.6,52,2.1,869.3,140
90,0,10,105,2,750,15,210,95.52,127.6,52,2.1,869.3,140
94,1.5,4.5,103,0.1,680,24,245,85.7,69.723,31,1.81,578.8,136
94,1.5,4.5,103,0.25,680,24,250,90,69.723,31,1.81,578.8,136
80,10,10,105,1.5,900,10,180,88.9,47.867,22,1.54,658.8,147
80,10,10,105,1.6,900,10,200,90,47.867,22,1.54,658.8,147
80,10,10,105,0.5,650,6,250,79.8,92.90638,41,1.6,652.1,146
95,2.5,2.5,101,0.01,700,10,220,88.64,183.84,74,2.36,770,139
95,2.5,2.5,101,0.01,700,10,215,86.05,18.998,9,3.98,1681,64
80,10,10,105,2,720,12,165,84.8,18.998,9,3.98,1681,64
80,10,10,105,4,720,12,170,88.2,18.998,9,3.98,1681,64
80,10,10,105,6,720,12,175,91.4,18.998,9,3.98,1681,64
80,10,10,105,8,720,12,180,94.4,18.998,9,3.98,1681,64
94,3,3,103,0.15,680,24,250,79.18,91.224,40,1.33,640.1,160
94,3,3,103,0.1,680,24,250,84.4,69.723,31,1.81,578.8,136
90,5,5,101,1,800,30,200,80.5,140.116,58,1.12,534.4,182
